Metoda,Parametr_a,Iteracja,x0_start,x1_start,x0_end,x1_end,y_end,f_calls,r
Wewnetrzna,4,39,2.41181,1.14817,2.71108,2.94103,-0.189195,2535,3.99995
Wewnetrzna,4,40,3.03119,1.49163,2.5895,3.0485,-0.189184,2360,3.99986
Wewnetrzna,4,41,2.5499,1.23102,2.679,2.97019,-0.189187,2690,3.99988
Wewnetrzna,4,42,1.36526,2.12474,2.56334,3.07057,-0.189188,2335,3.99989
Wewnetrzna,4,43,1.63138,2.75235,2.69294,2.95756,-0.189187,2870,3.99988
Wewnetrzna,4,44,1.03242,1.51873,2.65014,2.99597,-0.189187,2575,3.99989
Wewnetrzna,4,45,1.17629,1.64197,2.65529,2.99139,-0.189185,2425,3.99987
Wewnetrzna,4,46,1.96666,2.66028,2.67199,2.9765,-0.189187,2700,3.99988
Wewnetrzna,4,47,2.84892,2.25834,2.56405,3.06997,-0.189188,2455,3.99989
Wewnetrzna,4,48,1.02067,3.71597,2.67217,2.97633,-0.189187,2675,3.99988
Wewnetrzna,4,49,2.39672,1.17168,2.65846,2.98861,-0.189188,2670,3.99989
Wewnetrzna,4,50,1.31885,3.53479,2.59943,3.04004,-0.189185,2425,3.99987
Wewnetrzna,4,51,1.30016,2.86775,2.68576,2.96407,-0.189186,3000,3.99988
Wewnetrzna,4,52,3.41576,1.0249,2.54021,3.08954,-0.18917,2120,3.99974
Wewnetrzna,4,53,1.91492,3.05307,2.69116,2.95917,-0.189186,2830,3.99988
Wewnetrzna,4,54,1.05607,3.36524,2.74524,2.90916,-0.189195,2915,3.99995
Wewnetrzna,4,55,2.28276,2.904,2.73655,2.91734,-0.189195,2600,3.99995
Wewnetrzna,4,56,1.62457,2.30243,2.68135,2.96807,-0.189187,2490,3.99988
Wewnetrzna,4,57,3.43889,1.28282,2.67197,2.97651,-0.189187,2810,3.99988
Wewnetrzna,4,58,1.40346,3.14205,2.65043,2.99572,-0.189187,2775,3.99989
Wewnetrzna,4,59,3.16596,1.21422,2.71568,2.93679,-0.189195,3080,3.99995
Wewnetrzna,4,60,2.87229,2.61315,2.68441,2.9653,-0.189187,2760,3.99988
Wewnetrzna,4,61,3.62632,1.27287,2.75639,2.89861,-0.189195,3305,3.99995
Wewnetrzna,4,62,2.58639,1.26268,2.69962,2.95145,-0.189187,2865,3.99988
Wewnetrzna,4,63,1.82083,1.20836,2.7575,2.89754,-0.189195,3185,3.99995
Wewnetrzna,4,64,1.00165,2.48953,2.71227,2.93993,-0.189195,2660,3.99995
Wewnetrzna,4,65,2.09103,2.1257,2.68671,2.96322,-0.189187,2965,3.99989
Wewnetrzna,4,66,1.24744,1.22833,2.66254,2.98496,-0.189188,2835,3.99989
Wewnetrzna,4,67,1.86475,3.39601,2.55194,3.08004,-0.189187,2320,3.99989
Wewnetrzna,4,68,3.12944,2.26721,2.75552,2.89942,-0.189194,3125,3.99994
Wewnetrzna,4,69,2.53906,2.42873,2.68058,2.96876,-0.189187,2895,3.99988
Wewnetrzna,4,70,2.08644,1.70602,2.6986,2.95239,-0.189187,3005,3.99988
Wewnetrzna,4,71,1.2316,1.5548,2.68585,2.964,-0.189187,2665,3.99988
Wewnetrzna,4,72,1.0732,3.53707,2.66239,2.9851,-0.189188,2510,3.99989
Wewnetrzna,4,73,1.13139,1.89303,2.69313,2.95739,-0.189187,2905,3.99989
Wewnetrzna,4,74,2.01254,2.63331,2.64391,3.00144,-0.189185,2825,3.99986
Wewnetrzna,4,75,3.3299,1.62376,2.70195,2.94932,-0.189187,3135,3.99988
Wewnetrzna,4,76,2.88997,1.8932,2.69363,2.95693,-0.189187,2355,3.99988
Wewnetrzna,4,77,2.59822,2.53103,2.64731,2.99847,-0.189187,2815,3.99988
Wewnetrzna,4,78,3.79931,1.16675,2.67202,2.97647,-0.189187,2740,3.99988
Wewnetrzna,4,79,2.47119,1.75198,2.65315,2.9933,-0.189187,2730,3.99988
Wewnetrzna,4,80,1.03546,2.54339,2.67222,2.97629,-0.189187,2955,3.99988
Wewnetrzna,4,81,1.29005,1.16584,2.6986,2.95239,-0.189187,2950,3.99988
Wewnetrzna,4,82,3.43542,1.03547,2.64733,2.99846,-0.189187,2710,3.99988
Wewnetrzna,4,83,2.39899,2.80149,2.67147,2.97697,-0.189187,2600,3.99988
Wewnetrzna,4,84,1.5942,1.28997,2.54898,3.08231,-0.189171,2245,3.99974
Wewnetrzna,4,85,3.69369,1.48328,2.68504,2.96472,-0.189187,2980,3.99988
Wewnetrzna,4,86,1.26638,2.29291,2.6637,2.98393,-0.189188,2725,3.99989
Wewnetrzna,4,87,3.01331,1.20153,2.69863,2.95237,-0.189187,2675,3.99988
Wewnetrzna,4,88,1.36728,1.68149,2.6466,2.99909,-0.189187,2675,3.99988
Wewnetrzna,4,89,3.5646,1.40173,2.65925,2.9879,-0.189188,2755,3.99989
Wewnetrzna,4,90,1.56657,2.66031,2.71285,2.9394,-0.189195,2615,3.99995
Wewnetrzna,4,91,1.95381,3.06044,2.68557,2.96424,-0.189187,2855,3.99988
Wewnetrzna,4,92,3.15989,1.75677,2.70022,2.95091,-0.189187,2775,3.99988
Wewnetrzna,4,93,1.41074,1.48383,2.68768,2.96233,-0.189186,2875,3.99988
Wewnetrzna,4,94,2.52462,1.10543,2.64994,2.99615,-0.189187,2720,3.99989
Wewnetrzna,4,95,1.96611,2.79,2.66379,2.98384,-0.189188,2870,3.99989
Wewnetrzna,4,96,2.99053,1.60765,2.65767,2.9893,-0.189188,2760,3.99989
