Dlugosc_kroku,Lp,x1_0,x2_0,SD_x1,SD_x2,SD_y,SD_f_calls,SD_g_calls,SD_Globalne,CG_x1,CG_x2,CG_y,CG_f_calls,CG_g_calls,CG_Globalne,Newt_x1,Newt_x2,Newt_y,Newt_f_calls,Newt_g_calls,Newt_H_calls,Newt_Globalne
Zmienny,45,-1.36759,-0.871583,-1.74755,0.873764,0.298638,3,2,NIE,-1.74756,0.873794,0.298638,3,2,NIE,-0.912419,0.456202,0.82533,3,2,2,NIE
Zmienny,46,1.30368,1.9679,6.42709e-07,-6.34779e-06,3.70409e-11,3,2,TAK,-7.67346e-07,4.9961e-06,2.23049e-11,3,2,TAK,1.02218,-0.511079,0.872304,3,2,2,NIE
Zmienny,47,1.82185,-0.123347,1.74755,-0.873762,0.298638,5,4,NIE,1.74755,-0.873773,0.298638,5,4,NIE,1.74755,-0.873776,0.298638,5,4,4,NIE
Zmienny,48,1.52267,0.39038,1.74755,-0.873776,0.298638,6,5,NIE,1.74755,-0.873782,0.298638,6,5,NIE,1.74755,-0.873776,0.298638,6,5,5,NIE
Zmienny,49,1.69424,0.690248,1.74755,-0.873763,0.298638,5,4,NIE,1.74755,-0.873771,0.298638,5,4,NIE,1.74755,-0.873776,0.298638,5,4,4,NIE
Zmienny,50,1.38852,0.996469,1.74755,-0.873761,0.298638,3,2,NIE,1.74755,-0.873812,0.298638,3,2,NIE,0.834617,-0.4173,0.765866,3,2,2,NIE
Zmienny,51,-1.40385,1.17735,-1.74755,0.873792,0.298638,3,2,NIE,-1.74755,0.873777,0.298638,3,2,NIE,-0.747917,0.373961,0.679536,3,2,2,NIE
Zmienny,52,-0.471027,1.86611,-2.56026e-06,1.79535e-06,1.17366e-11,6,5,TAK,-2.45802e-08,7.13702e-07,4.93037e-13,6,5,TAK,1.12203e-14,9.44194e-16,2.63274e-28,6,5,5,TAK
Zmienny,53,-1.17015,-0.805502,-2.24868e-06,2.27299e-06,1.01684e-11,3,2,TAK,5.97322e-06,-2.1467e-05,4.03965e-10,3,2,TAK,-1.06966,0.534823,0.87736,3,2,2,NIE
Zmienny,54,0.254594,-0.2336,3.77017e-07,-3.43427e-06,1.07837e-11,4,3,TAK,-1.03935e-07,-5.89283e-08,3.1202e-14,4,3,TAK,3.18233e-13,-5.36412e-13,3.19578e-25,4,3,3,TAK
