w;x1(0);x2(0);a1_x1*;a1_x2*;a1_f1*;a1_f2*;a1_calls;a10_x1*;a10_x2*;a10_f1*;a10_f2*;a10_calls;a100_x1*;a100_x2*;a100_f1*;a100_f2*;a100_calls
0.6;-1.75604;-9.81044;-1.75604;-9.81044;186.727;47.9296;32;-1.75604;-9.81044;1867.27;4.79296;31;-1.75604;-9.81044;18672.7;0.479296;34
0.61;1.87167;2.972;1.87167;2.972;1.27392;59.3979;34;1.87167;2.972;12.7392;5.93979;34;1.87167;2.972;127.392;0.593979;26
0.62;-8.46417;-1.52254;-8.46417;-1.52254;151.881;32.04;31;-8.46417;-1.52254;1518.81;3.204;31;-8.46417;-1.52254;15188.1;0.3204;33
0.63;6.55862;0.89334;6.55862;0.89334;17.1018;106.525;35;6.55862;0.89334;171.018;10.6525;34;6.55862;0.89334;1710.18;1.06525;32
0.64;-1.77957;-1.1033;-1.77957;-1.1033;39.6814;5.08692;31;-1.77957;-1.1033;396.814;0.508692;28;-1.77957;-1.1033;3968.14;0.0508692;32
0.65;8.86972;2.86244;8.86972;2.86244;34.4726;175.259;35;8.86972;2.86244;344.726;17.5259;35;8.86972;2.86244;3447.26;1.75259;30
0.66;8.17649;9.8595;8.17649;9.8595;73.8488;290.281;37;8.17649;9.8595;738.488;29.0281;36;8.17649;9.8595;7384.88;2.90281;35
0.67;2.05099;1.95575;2.05099;1.95575;1.99109;50.0719;34;2.05099;1.95575;19.9109;5.00719;34;2.05099;1.95575;199.109;0.500719;26
0.68;-0.262248;-7.54039;-0.262248;-7.54039;121.742;28.1105;32;-0.262248;-7.54039;1217.42;2.81105;32;-0.262248;-7.54039;12174.2;0.281105;32
0.69;-4.47033;-1.82662;-4.47033;-1.82662;79.1021;3.5387;29;-4.47033;-1.82662;791.021;0.35387;26;-4.47033;-1.82662;7910.21;0.035387;33
0.7;-9.71168;3.03464;-9.71168;3.03464;161.588;81.4635;34;-9.71168;3.03464;1615.88;8.14635;34;-9.71168;3.03464;16158.8;0.814635;31
0.71;0.840677;3.39167;0.840677;3.39167;4.81608;55.6043;35;0.840677;3.39167;48.1608;5.56043;33;0.840677;3.39167;481.608;0.556043;29
0.72;2.07389;8.73362;2.07389;8.73362;33.732;163.422;35;2.07389;8.73362;337.32;16.3422;35;2.07389;8.73362;3373.2;1.63422;30
0.73;-2.4991;2.84084;-2.4991;2.84084;30.2654;34.3664;31;-2.4991;2.84084;302.654;3.43664;31;-2.4991;2.84084;3026.54;0.343664;27
0.74;3.93471;9.12631;3.93471;9.12631;38.4053;195.137;36;3.93471;9.12631;384.053;19.5137;35;3.93471;9.12631;3840.53;1.95137;33
0.75;7.48522;-7.82133;7.48522;-7.82133;137.219;133.185;34;7.48522;-7.82133;1372.19;13.3185;35;7.48522;-7.82133;13721.9;1.33185;34
0.76;9.31586;-0.643109;9.31586;-0.643109;53.1624;157.235;35;9.31586;-0.643109;531.624;15.7235;33;9.31586;-0.643109;5316.24;1.57235;34
0.77;5.15066;-9.14831;5.15066;-9.14831;152.207;104.235;35;5.15066;-9.14831;1522.07;10.4235;35;5.15066;-9.14831;15220.7;1.04235;33
0.78;7.83435;1.70929;7.83435;1.70929;25.0369;139.561;35;7.83435;1.70929;250.369;13.9561;35;7.83435;1.70929;2503.69;1.39561;31
0.79;1.74503;-3.94522;1.74503;-3.94522;49.8111;23.4088;31;1.74503;-3.94522;498.111;2.34088;32;1.74503;-3.94522;4981.11;0.234088;31
0.8;-9.39401;0.614756;-9.39401;0.614756;159.301;53.9499;34;-9.39401;0.614756;1593.01;5.39499;33;-9.39401;0.614756;15930.1;0.539499;32
0.81;8.91722;8.78248;8.91722;8.78248;68.4505;280.847;36;8.91722;8.78248;684.505;28.0847;36;8.91722;8.78248;6845.05;2.80847;34
0.82;0.474257;0.968203;0.474257;0.968203;10.5076;27.8171;34;0.474257;0.968203;105.076;2.78171;32;0.474257;0.968203;1050.76;0.278171;30
0.83;0.738229;-9.78799;0.738229;-9.78799;168.648;60.0512;34;0.738229;-9.78799;1686.48;6.00512;33;0.738229;-9.78799;16864.8;0.600512;33
0.84;3.42781;6.2679;3.42781;6.2679;10.8622;127.211;36;3.42781;6.2679;108.622;12.7211;35;3.42781;6.2679;1086.22;1.27211;31
0.85;-1.61461;3.71613;-1.61461;3.71613;21.8075;47.0257;33;-1.61461;3.71613;218.075;4.70257;31;-1.61461;3.71613;2180.75;0.470257;31
0.86;-0.697464;9.22607;-0.697464;9.22607;52.4351;154.778;34;-0.697464;9.22607;524.351;15.4778;27;-0.697464;9.22607;5243.51;1.54778;34
0.87;-2.8922;-8.62358;-2.8922;-8.62358;169.826;31.6362;27;-2.8922;-8.62358;1698.26;3.16362;32;-2.8922;-8.62358;16982.6;0.316362;33
0.88;7.95968;4.6087;7.95968;4.6087;27.1864;178.007;36;7.95968;4.6087;271.864;17.8007;35;7.95968;4.6087;2718.64;1.78007;33
0.89;4.21727;1.89439;4.21727;1.89439;2.70411;76.044;35;4.21727;1.89439;27.0411;7.6044;33;4.21727;1.89439;270.411;0.76044;29
0.9;3.73501;1.70249;3.73501;1.70249;2.22376;67.4737;35;3.73501;1.70249;22.2376;6.74737;33;3.73501;1.70249;222.376;0.674737;29
0.91;4.07306;3.05087;4.07306;3.05087;1.15404;86.6411;35;4.07306;3.05087;11.5404;8.66411;33;4.07306;3.05087;115.404;0.866411;27
0.92;-8.94062;-0.776283;-8.94062;-0.776283;156.839;40.2359;32;-8.94062;-0.776283;1568.39;4.02359;31;-8.94062;-0.776283;15683.9;0.402359;33
0.93;3.90256;8.89373;3.90256;8.89373;35.5507;189.106;36;3.90256;8.89373;355.507;18.9106;35;3.90256;8.89373;3555.07;1.89106;32
0.94;-9.067;-4.35241;-9.067;-4.35241;199.67;38.6375;31;-9.067;-4.35241;1996.7;3.86375;33;-9.067;-4.35241;19967;0.386375;34
0.95;-5.05149;-8.46101;-5.05149;-8.46101;196.181;34.0312;31;-5.05149;-8.46101;1961.81;3.40312;33;-5.05149;-8.46101;19618.1;0.340312;34
0.96;6.26235;-6.13427;6.26235;-6.13427;94.0779;95.6147;34;6.26235;-6.13427;940.779;9.56147;34;6.26235;-6.13427;9407.79;0.956147;34
0.97;-9.67853;-3.2634;-9.67853;-3.2634;199.975;44.6721;30;-9.67853;-3.2634;1999.75;4.46721;33;-9.67853;-3.2634;19997.5;0.446721;35
0.98;4.83393;1.0597;4.83393;1.0597;7.12805;77.8516;35;4.83393;1.0597;71.2805;7.78516;30;4.83393;1.0597;712.805;0.778516;31
0.99;-3.05139;-1.73826;-3.05139;-1.73826;59.0704;1.59462;27;-3.05139;-1.73826;590.704;0.159462;32;-3.05139;-1.73826;5907.04;0.0159462;32
1;-2.6724;5.334;-2.6724;5.334;37.6237;69.5629;32;-2.6724;5.334;376.237;6.95629;32;-2.6724;5.334;3762.37;0.695629;32
