Metoda,Krok,Nr_Iteracji,x1,x2
CG,0.050000,18,1.74747,-0.870928
CG,0.050000,19,1.74743,-0.87187
CG,0.050000,20,1.74739,-0.872421
CG,0.050000,21,1.7474,-0.872825
CG,0.050000,22,1.74745,-0.873138
CG,0.050000,23,1.7475,-0.873336
CG,0.050000,24,1.74753,-0.87346
CG,0.050000,25,1.74754,-0.873557
CG,0.050000,26,1.74754,-0.87363
CG,0.050000,27,1.74754,-0.873674
CG,0.050000,28,1.74754,-0.873704
CG,0.050000,29,1.74754,-0.873727
CG,0.050000,30,1.74755,-0.873743
CG,0.050000,31,1.74755,-0.873752
CG,0.250000,0,1.4578,0.868796
CG,0.250000,1,1.38979,0.0699487
CG,0.250000,2,1.48802,-0.510694
CG,0.250000,3,1.81844,-0.952897
CG,0.250000,4,1.79102,-1.21205
CG,0.250000,5,1.71416,-1.18605
CG,0.250000,6,1.73597,-0.971085
CG,0.250000,7,1.7968,-0.896329
CG,0.250000,8,1.90162,-0.567283
CG,0.250000,9,3.52176,6.70089
CG,0.250000,10,23873.7,107512
CG,Zmienny,0,1.4578,0.868796
CG,Zmienny,1,1.3309,-0.62187
CG,Zmienny,2,1.74644,-0.795102
CG,Zmienny,3,1.73372,-0.850994
CG,Zmienny,4,1.74809,-0.870362
CG,Zmienny,5,1.74702,-0.871358
CG,Zmienny,6,1.7477,-0.873526
CG,Zmienny,7,1.74753,-0.873668
CG,Zmienny,8,1.74756,-0.873721
CG,Zmienny,9,1.74755,-0.873771
CG,Zmienny,10,1.74755,-0.873773
Newton,0.050000,0,1.4578,0.868796
Newton,0.050000,1,1.36248,0.836571
Newton,0.050000,2,1.34069,0.771573
Newton,0.050000,3,1.32236,0.708641
Newton,0.050000,4,1.30633,0.648165
Newton,0.050000,5,1.292,0.590265
Newton,0.050000,6,1.279,0.534951
Newton,0.050000,7,1.2671,0.48218
Newton,0.050000,8,1.25612,0.431882
Newton,0.050000,9,1.24594,0.383974
Newton,0.050000,10,1.23647,0.338365
Newton,0.050000,11,1.22761,0.294962
Newton,0.050000,12,1.21932,0.25367
Newton,0.050000,13,1.21153,0.214396
Newton,0.050000,14,1.20421,0.177049
Newton,0.050000,15,1.19732,0.14154
Newton,0.050000,16,1.19081,0.107783
Newton,0.050000,17,1.18467,0.0756941
Newton,0.050000,18,1.17886,0.0451949
Newton,0.050000,19,1.17337,0.0162084
Newton,0.050000,20,1.16818,-0.0113385
Newton,0.050000,21,1.16326,-0.0375158
Newton,0.050000,22,1.1586,-0.0623905
Newton,0.050000,23,1.15418,-0.0860263
Newton,0.050000,24,1.14999,-0.108484
Newton,0.050000,25,1.14601,-0.129822
Newton,0.050000,26,1.14224,-0.150096
Newton,0.050000,27,1.13866,-0.169357
Newton,0.050000,28,1.13526,-0.187657
Newton,0.050000,29,1.13204,-0.205043
Newton,0.050000,30,1.12897,-0.22156
Newton,0.050000,31,1.12606,-0.237251
Newton,0.050000,32,1.1233,-0.252159
Newton,0.050000,33,1.12068,-0.266321
Newton,0.050000,34,1.11818,-0.279775
Newton,0.050000,35,1.11581,-0.292556
Newton,0.050000,36,1.11356,-0.304698
Newton,0.050000,37,1.11142,-0.316232
Newton,0.050000,38,1.10939,-0.32719
Newton,0.050000,39,1.10746,-0.337599
Newton,0.050000,40,1.10562,-0.347488
Newton,0.050000,41,1.10388,-0.356882
Newton,0.050000,42,1.10222,-0.365806
Newton,0.050000,43,1.10064,-0.374283
Newton,0.050000,44,1.09915,-0.382337
Newton,0.050000,45,1.09772,-0.389987
Newton,0.050000,46,1.09637,-0.397255
Newton,0.050000,47,1.09509,-0.404159
Newton,0.050000,48,1.09387,-0.410717
Newton,0.050000,49,1.0927,-0.416947
Newton,0.050000,50,1.0916,-0.422866
Newton,0.050000,51,1.09055,-0.428489
Newton,0.050000,52,1.08956,-0.43383
Newton,0.050000,53,1.08861,-0.438904
Newton,0.050000,54,1.08771,-0.443724
Newton,0.050000,55,1.08685,-0.448303
Newton,0.050000,56,1.08604,-0.452653
Newton,0.050000,57,1.08527,-0.456785
Newton,0.050000,58,1.08454,-0.460711
Newton,0.050000,59,1.08384,-0.46444
Newton,0.050000,60,1.08318,-0.467982
Newton,0.050000,61,1.08255,-0.471348
Newton,0.050000,62,1.08195,-0.474545
Newton,0.050000,63,1.08138,-0.477582
Newton,0.050000,64,1.08084,-0.480467
Newton,0.050000,65,1.08032,-0.483208
Newton,0.050000,66,1.07984,-0.485812
Newton,0.050000,67,1.07937,-0.488285
Newton,0.050000,68,1.07893,-0.490635
Newton,0.050000,69,1.07851,-0.492867
Newton,0.050000,70,1.07812,-0.494988
Newton,0.050000,71,1.07774,-0.497002
Newton,0.050000,72,1.07738,-0.498916
Newton,0.050000,73,1.07704,-0.500734
Newton,0.050000,74,1.07671,-0.502461
