Iteration,x0_start,Exp_start,Exp_end,Exp_f_calls,Fib_with_Exp_x,Fib_with_Exp_y,Fib_with_Exp_f_calls,Lag_with_Exp_x,Lag_with_Exp_y,Lag_with_Exp_f_calls,Fib_no_Exp_x,Fib_no_Exp_y,Fib_no_Exp_f_calls,Lag_no_Exp_x,Lag_no_Exp_y,Lag_no_Exp_f_calls
54,-20.6621,-2.17366,5.96124,20,2.81045e-06,1.50816e-16,29,5.02221e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
55,-90.7226,-11.2258,23.7528,28,-3.40541e-06,2.24779e-16,32,2.25066e-13,-7.15717e-18,6,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
56,-26.6681,-4.482,5.27989,21,3.61902e-06,2.54789e-16,30,2.69703e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
57,-79.6768,-13.4294,15.7194,27,-4.10595e-06,3.30019e-16,32,4.52111e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
58,86.0069,59.3835,67.5184,21,62.7482,-0.921148,29,62.7482,-0.921148,8,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
59,-40.2021,-8.2541,5.80302,23,-2.17355e-06,8.73289e-17,31,4.80619e-12,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
60,20.7399,-5.88342,2.25148,21,1.9292e-06,6.72794e-17,29,5.70522e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
61,28.7434,-3.20457,6.55732,22,9.8739e-07,1.23416e-17,30,5.00903e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
62,-81.7807,-15.5333,13.6155,27,3.74673e-06,2.73602e-16,32,7.58491e-10,-7.15715e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
63,70.4181,61.502,64.2264,15,62.7482,-0.921148,27,62.7482,-0.921148,7,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
64,22.3137,-4.30963,3.82528,21,3.49892e-06,2.37692e-16,29,4.53089e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
65,-44.2946,-5.95704,10.9115,24,-3.30665e-06,2.11521e-16,31,1.00382e-12,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
66,43.0126,-12.1936,4.67498,25,3.52552e-07,-4.67131e-18,31,4.36547e-12,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
67,-66.8393,-11.6331,12.6576,26,-2.52915e-06,1.20774e-16,32,3.0041e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
68,12.9575,-2.44954,2.25817,18,-2.43442e-06,1.11371e-16,28,2.51192e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
69,47.7472,60.5864,66.2357,18,62.7482,-0.921148,29,62.7482,-0.921148,8,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
70,-41.2402,-9.29223,4.76489,23,-2.68841e-06,1.37394e-16,31,3.45151e-12,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
71,-4.33733,-0.754148,0.822451,11,-2.4616e-06,1.14032e-16,26,2.26026e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
72,-85.4741,-19.2267,9.92211,27,-2.2255e-06,9.19001e-17,32,3.05834e-10,-7.15716e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
73,69.0141,61.584,63.8543,14,62.7482,-0.921148,27,62.7482,-0.921148,7,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
74,12.6729,-2.73417,1.97353,18,-9.55149e-07,1.1089e-17,28,3.00798e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
75,62.2711,61.2711,63.2711,3,62.7482,-0.921148,27,62.7482,-0.921148,7,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
76,-99.5307,-20.0339,14.9447,28,8.55687e-07,7.48683e-18,32,2.03893e-09,-7.15708e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
77,62.9549,61.9549,63.9549,3,62.7482,-0.921148,27,62.7482,-0.921148,7,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
78,16.8396,-1.64881,4.00043,19,-2.3978e-06,1.07832e-16,29,3.32216e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
79,87.4566,55.5086,65.2704,22,62.7482,-0.921148,30,62.7482,-0.921148,9,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
80,-2.20637,-0.478375,0.281945,7,3.08616e-06,1.8333e-16,25,2.26484e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
81,-37.4709,-5.5229,8.53422,23,-1.48406e-06,3.68914e-17,31,5.12178e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
82,56.6611,61.8209,64.0912,13,62.7482,-0.921148,27,62.7482,-0.921148,7,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
83,43.5964,-11.6097,5.25883,25,9.36557e-07,1.03856e-17,31,6.25065e-12,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
84,81.804,59.6179,66.397,20,62.7482,-0.921148,29,62.7482,-0.921148,7,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
85,-64.001,-8.79486,15.4958,26,-1.33081e-06,2.82641e-17,32,2.16607e-12,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
86,52.8738,61.7899,65.713,16,62.7482,-0.921148,28,62.7482,-0.921148,7,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
87,-44.8641,-6.52651,10.342,24,4.83672e-07,-2.4784e-18,31,6.89153e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
88,-43.6778,-5.34019,11.5284,24,-1.83933e-06,6.05056e-17,31,1.52294e-12,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
89,38.8807,-7.12444,6.93268,24,-2.23023e-06,9.23216e-17,31,1.22609e-12,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
90,14.9338,-3.55464,2.0946,19,8.10914e-07,5.99445e-18,29,3.75009e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
91,77.0621,58.5737,64.2229,19,62.7482,-0.921148,29,nan,nan,nan,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
92,-32.3759,-5.75255,5.96171,22,3.70198e-06,2.66936e-16,30,2.36234e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
93,33.1531,-5.18451,6.52976,23,-3.90388e-06,2.97649e-16,30,3.12948e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
94,47.4802,60.3194,65.9686,18,62.7482,-0.921148,29,62.7482,-0.921148,8,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
95,89.9378,57.9898,67.7517,22,62.7482,-0.921148,30,62.7482,-0.921148,7,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
96,88.8585,56.9105,66.6723,22,62.7482,-0.921148,30,62.7482,-0.921148,8,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
97,-9.5072,-2.07712,1.19212,15,4.70415e-07,-2.73136e-18,28,2.63597e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
98,-76.9015,-10.6541,18.4948,27,2.05937e-06,7.76632e-17,32,3.61686e-12,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
99,1.81594,-0.257658,0.375942,7,-3.78235e-06,2.78967e-16,24,2.25654e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
100,-61.76,-6.55383,17.7369,26,-2.88539e-06,1.59353e-16,32,1.20529e-11,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
