Metoda,Parametr_a,Iteracja,x0_start,x1_start,x0_end,x1_end,y_end,f_calls,r
Zewnetrzna,5,11,-3.06598,-1.7465,4.23754,1.49465,-0.217234,440,4.49341
Zewnetrzna,5,12,-3.16463,2.95185,4.06629,1.91206,-0.217234,590,4.49341
Zewnetrzna,5,13,-1.68701,0.290853,4.12476,1.78245,-0.217234,595,4.49341
Zewnetrzna,5,14,-1.01233,-4.59558,1.2118,4.32692,-0.217234,360,4.49341
Zewnetrzna,5,15,1.49206,4.59934,1.71239,4.15433,-0.217234,320,4.49341
Zewnetrzna,5,16,-3.07169,-0.303333,4.04704,1.95249,-0.217234,630,4.49341
Zewnetrzna,5,17,0.638765,4.84529,1.12657,4.34989,-0.217234,310,4.49341
Zewnetrzna,5,18,-3.14743,-1.98063,3.73824,2.49325,-0.217234,475,4.49341
Zewnetrzna,5,19,-1.2452,-0.419889,4.22831,1.52056,-0.217234,740,4.49341
Zewnetrzna,5,20,2.89777,-2.03628,4.14457,1.73589,-0.217234,440,4.49341
Zewnetrzna,5,21,-0.260544,4.85375,1.13519,4.34765,-0.217234,485,4.49341
Zewnetrzna,5,22,0.353315,-2.78516,2.42765,3.78117,-0.217234,480,4.49341
Zewnetrzna,5,23,0.912821,-4.08402,2.89596,3.43571,-0.217234,350,4.49341
Zewnetrzna,5,24,2.22989,2.33599,3.11981,3.23381,-0.217234,465,4.49341
Zewnetrzna,5,25,-1.91706,-0.379699,3.89836,2.23461,-0.217234,325,4.49341
Zewnetrzna,5,26,-3.50931,0.0169651,4.36448,1.06865,-0.217234,510,4.49341
Zewnetrzna,5,27,2.8738,-1.67394,4.0239,1.99974,-0.217234,305,4.49341
Zewnetrzna,5,28,-2.03119,-3.81321,1.96298,4.04196,-0.217234,475,4.49341
Zewnetrzna,5,29,3.61691,1.95649,3.60245,2.68572,-0.217234,735,4.49341
Zewnetrzna,5,30,-3.40879,0.108971,4.13397,1.76097,-0.217234,600,4.49341
Zewnetrzna,5,31,1.55583,-1.48048,3.56827,2.73097,-0.217234,330,4.49341
Zewnetrzna,5,32,4.80564,-2.80541,1.30431,4.29994,-0.217234,390,4.49341
Zewnetrzna,5,33,-1.63519,-3.34179,1.8918,4.07576,-0.217234,385,4.49341
Zewnetrzna,5,34,0.21396,2.11961,1.60733,4.1961,-0.217234,470,4.49341
Zewnetrzna,5,35,1.23832,-1.88827,2.39489,3.80201,-0.217234,345,4.49341
Zewnetrzna,5,36,-4.91667,-4.02223,3.97162,2.10165,-0.217234,370,4.49341
Zewnetrzna,5,37,-2.03452,0.436645,4.19532,1.60935,-0.217234,544,4.49341
Zewnetrzna,5,38,-1.80738,3.8783,3.07959,3.27213,-0.217234,345,4.49341
Zewnetrzna,5,39,1.35262,-4.57749,1.13731,4.3471,-0.217234,615,4.49341
Zewnetrzna,5,40,1.21429,4.43556,1.23269,4.32102,-0.217234,450,4.49341
Zewnetrzna,5,41,0.0428097,2.70498,1.19482,4.33164,-0.217234,360,4.49341
Zewnetrzna,5,42,-0.547473,-2.08339,2.16751,3.93607,-0.217234,525,4.49341
Zewnetrzna,5,43,-3.96897,2.42134,4.00297,2.04131,-0.217234,370,4.49341
Zewnetrzna,5,44,-0.896603,4.64794,2.99927,3.34591,-0.217234,369,4.49341
