Iteracja,Krok_startowy,x0_start,x1_start,HJ_x0_end,HJ_x1_end,HJ_y_end,HJ_f_calls,Rosen_x0_end,Rosen_x1_end,Rosen_y_end,Rosen_f_calls
171,0.25,0.373455,-0.126409,0.774715,-5.04829e-06,0.619837,153,0.774714,6.44672e-06,0.619837,245
172,0.25,0.274515,-0.835216,-5.68699e-06,-0.774714,0.619837,143,0.774718,-0.77473,1.23967,157
173,0.25,-0.381035,0.146153,7.09417e-06,4.64411e-06,2.28932e-09,150,1.29143e-06,2.13114e-06,1.97729e-10,179
174,0.25,0.0714558,-0.531516,-1.13665e-06,-6.80216e-06,1.51447e-09,175,-4.36676e-06,-1.86662e-06,7.18138e-10,191
175,0.25,0.162032,0.19449,-8.16229e-07,1.41524e-06,8.49916e-11,156,-4.11354e-06,0.774717,0.619837,227
176,0.25,-0.836016,-0.672862,-0.774722,-0.774714,1.23967,150,-0.774722,0.774718,1.23967,209
177,0.25,-0.65237,-0.122528,-0.774715,-3.74914e-07,0.619837,118,8.96279e-06,-9.04215e-06,5.16142e-09,177
178,0.25,0.821235,-0.500031,0.774711,-6.58911e-08,0.619837,147,0.774717,2.21488e-07,0.619837,133
179,0.25,-0.650686,0.0291204,-0.77471,6.60914e-06,0.619837,121,5.32851e-06,3.17489e-07,9.07316e-10,173
180,0.25,0.0865169,0.443134,-4.74469e-07,0.774723,0.619837,155,4.01597e-07,0.774714,0.619837,235
181,0.25,-0.673617,-0.00417156,-0.774721,-5.91343e-06,0.619837,120,0.774715,-3.6518e-07,0.619837,235
182,0.25,0.848719,0.816593,0.774714,0.774723,1.23967,142,0.774714,0.774716,1.23967,165
183,0.25,0.492158,0.0815522,0.774721,-6.03354e-06,0.619837,164,0.774719,-7.75324e-07,0.619837,201
184,0.25,0.3063,0.53634,0.774714,0.774713,1.23967,146,4.06278e-07,-0.774715,0.619837,193
185,0.25,0.220637,-0.983714,-4.87118e-06,-0.774714,0.619837,127,0.774713,-0.774719,1.23967,255
186,0.25,0.50351,-0.405908,0.77472,6.57169e-06,0.619837,151,-3.98714e-06,-6.09168e-06,1.68784e-09,177
187,0.25,-0.110123,-0.221974,7.49202e-08,-4.84158e-06,7.46597e-10,134,3.43299e-06,-2.31343e-06,5.45697e-10,139
188,0.25,-0.241123,0.508842,-3.91027e-06,0.774711,0.619837,142,3.23477e-06,-0.774712,0.619837,181
189,0.25,0.924179,0.830332,-1.96544e-07,0.774714,0.619837,173,-0.774719,0.774721,1.23967,219
190,0.25,0.977326,0.0862111,0.77472,-1.0137e-06,0.619837,135,0.774717,3.26185e-06,0.619837,291
191,0.25,0.0248224,-0.858691,-3.63261e-06,-0.774721,0.619837,157,-3.15868e-06,-0.77471,0.619837,173
192,0.25,0.413349,0.372452,0.774723,0.77472,1.23967,143,0.774716,0.774723,1.23967,167
193,0.25,0.018781,0.234584,-2.53179e-06,-4.57874e-06,8.71683e-10,128,-2.35238e-06,0.774713,0.619837,285
194,0.25,0.872421,0.368095,0.774719,0.774711,1.23967,146,0.774713,0.774714,1.23967,191
195,0.25,-0.736296,-0.0410617,-0.774717,-2.5753e-07,0.619837,157,-0.774719,2.3179e-06,0.619837,215
196,0.25,-0.188771,-0.409912,-4.56124e-06,-1.00308e-07,6.62801e-10,146,1.35722e-06,5.12722e-06,8.95743e-10,265
197,0.25,0.954767,-0.340052,0.774713,5.0816e-06,0.619837,141,0.774711,-6.04403e-06,0.619837,201
198,0.25,-0.593319,0.446925,-0.774716,0.774714,1.23967,141,-7.91505e-07,0.774713,0.619837,161
199,0.25,0.7415,0.712981,0.774718,0.774718,1.23967,127,0.774715,0.774713,1.23967,207
200,0.25,-0.0167344,-0.0378629,4.48757e-06,-5.82404e-06,1.72134e-09,133,1.91464e-06,3.67334e-06,5.46394e-10,109
201,0.1,0.729267,-0.513224,0.774714,-0.774711,1.23967,163,0.774716,5.5343e-07,0.619837,159
202,0.1,0.556229,-0.380856,0.774711,3.8718e-06,0.619837,138,0.774715,-4.33941e-06,0.619837,223
203,0.1,0.264802,-0.684894,-5.61119e-06,-0.774713,0.619837,133,0.774708,-0.774716,1.23967,127
204,0.1,-0.872013,0.18898,-0.774711,3.34661e-06,0.619837,137,-0.774719,0.77471,1.23967,187
205,0.1,-0.854561,-0.894688,-0.774715,-0.774717,1.23967,121,-0.774717,-0.774715,1.23967,245
206,0.1,-0.724808,0.170261,-0.774711,-2.68688e-06,0.619837,124,-0.774716,3.35149e-06,0.619837,179
207,0.1,-0.753378,0.688541,-0.774716,0.77471,1.23967,138,-0.774714,0.774718,1.23967,157
208,0.1,-0.457287,0.265403,6.47708e-07,-2.43705e-06,2.02479e-10,172,6.56882e-06,0.774712,0.619837,115
209,0.1,-0.076875,-0.584865,4.89695e-06,-0.774721,0.619837,135,6.03471e-06,-9.53658e-06,4.05559e-09,121
210,0.1,-0.366502,0.186829,1.50047e-06,8.23842e-07,9.33025e-11,154,3.52003e-06,0.774711,0.619837,275
211,0.1,0.374073,0.444727,0.77472,0.774719,1.23967,145,0.774711,0.774715,1.23967,199
212,0.1,0.776917,0.32884,0.77472,-5.56478e-06,0.619837,161,0.774723,0.774717,1.23967,215
213,0.1,-0.895326,-0.816402,-0.77472,-0.774715,1.23967,154,-0.774712,-0.774716,1.23967,175
214,0.1,-0.224235,0.846174,-4.242e-06,0.774714,0.619837,133,3.46416e-06,0.774716,0.619837,233
215,0.1,0.896579,0.75903,0.774716,0.774716,1.23967,115,-8.90092e-07,0.774715,0.619837,153
216,0.1,-0.191689,0.625846,-1.70525e-06,0.774711,0.619837,148,-3.89397e-06,0.774717,0.619837,239
217,0.1,-0.754194,-0.635459,-0.774714,-0.774717,1.23967,142,-0.77471,-1.09733e-07,0.619837,219
218,0.1,-0.755009,0.510608,-0.774712,0.774719,1.23967,155,-0.774716,-0.774718,1.23967,147
219,0.1,-0.320353,-0.627023,-4.1193e-06,-0.774716,0.619837,132,-2.45908e-06,1.39912e-06,2.54887e-10,179
220,0.1,-0.300412,-0.174915,3.31211e-06,-1.21805e-07,3.49787e-10,118,0.774711,-6.55344e-07,0.619837,191
221,0.1,-0.521711,-0.0252202,-0.774714,-4.58502e-07,0.619837,127,-1.28981e-05,-4.62838e-06,5.97952e-09,171
222,0.1,0.995346,-0.275089,0.774716,-3.34497e-06,0.619837,144,0.774715,-2.27507e-07,0.619837,183
223,0.1,-0.336679,-0.461941,2.91367e-06,-2.16098e-06,4.19025e-10,150,-2.24162e-06,-8.6301e-07,1.8372e-10,249
224,0.1,0.990314,0.586446,0.774713,0.774715,1.23967,131,0.774714,0.774722,1.23967,165
225,0.1,-0.0468061,-0.376188,-4.34809e-06,-4.28249e-06,1.18599e-09,148,1.09138e-06,-3.31375e-06,3.87589e-10,159
