Metoda,Parametr_a,Iteracja,x0_start,x1_start,x0_end,x1_end,y_end,f_calls,r
Wewnetrzna,4.4934,10,2.18583,2.85024,3.0461,3.30315,-0.217234,3215,4.49328
Wewnetrzna,4.4934,11,1.28647,2.40791,3.05311,3.29667,-0.217234,3510,4.49327
Wewnetrzna,4.4934,12,1.45452,1.15927,3.0045,3.34105,-0.217234,3245,4.49329
Wewnetrzna,4.4934,13,1.05706,3.83898,3.05002,3.29952,-0.217234,3170,4.49327
Wewnetrzna,4.4934,14,3.91203,1.79368,3.02079,3.32632,-0.217234,3665,4.49328
Wewnetrzna,4.4934,15,3.1991,2.9702,2.98174,3.36134,-0.217234,3445,4.49326
Wewnetrzna,4.4934,16,2.18541,1.78538,2.98266,3.36052,-0.217234,3720,4.49326
Wewnetrzna,4.4934,17,3.46472,1.72695,3.00905,3.33692,-0.217234,3350,4.49327
Wewnetrzna,4.4934,18,1.64471,1.85109,3.0025,3.34285,-0.217234,3115,4.49329
Wewnetrzna,4.4934,19,2.84807,1.34578,3.03846,3.31018,-0.217234,3470,4.49327
Wewnetrzna,4.4934,20,3.60329,1.0502,2.97203,3.36993,-0.217234,3260,4.49326
Wewnetrzna,4.4934,21,2.89944,1.17736,2.9476,3.39133,-0.217234,3240,4.49327
Wewnetrzna,4.4934,22,2.70363,3.35297,3.02107,3.32607,-0.217234,3630,4.49328
Wewnetrzna,4.4934,23,1.33564,2.75969,3.07326,3.27789,-0.217234,3595,4.49327
Wewnetrzna,4.4934,24,2.2751,2.11917,3.022,3.32521,-0.217234,3340,4.49328
Wewnetrzna,4.4934,25,1.20365,4.09979,2.97196,3.36999,-0.217234,3105,4.49326
Wewnetrzna,4.4934,26,1.54862,3.40175,2.95822,3.38206,-0.217234,3480,4.49326
Wewnetrzna,4.4934,27,2.57759,2.73303,3.04726,3.30206,-0.217234,3285,4.49326
Wewnetrzna,4.4934,28,4.18613,1.54991,3.03819,3.31043,-0.217234,3245,4.49328
Wewnetrzna,4.4934,29,3.45897,1.33844,2.99614,3.34853,-0.217234,3240,4.49327
Wewnetrzna,4.4934,30,2.4,2.58675,2.98332,3.35994,-0.217234,3185,4.49326
Wewnetrzna,4.4934,31,2.93153,2.10561,2.99858,3.34636,-0.217234,3415,4.49329
Wewnetrzna,4.4934,32,3.01309,2.04242,3.03788,3.3107,-0.217234,3370,4.49327
Wewnetrzna,4.4934,33,2.15481,2.90398,3.04231,3.30662,-0.217234,3610,4.49326
Wewnetrzna,4.4934,34,2.91382,3.41498,2.99891,3.34607,-0.217234,3135,4.49329
Wewnetrzna,4.4934,35,2.30806,1.12096,3.00684,3.33894,-0.217234,3035,4.49328
Wewnetrzna,4.4934,36,2.23914,3.0276,3.02866,3.31916,-0.217234,3205,4.49328
Wewnetrzna,4.4934,37,3.18955,2.78676,3.00238,3.34295,-0.217234,3345,4.49329
Wewnetrzna,4.4934,38,1.93695,1.27475,3.07334,3.27781,-0.217234,3710,4.49327
Wewnetrzna,4.4934,39,1.02738,1.63068,3.02165,3.32554,-0.217234,3280,4.49328
Wewnetrzna,4.4934,40,1.82366,3.48536,3.00434,3.34119,-0.217234,3455,4.49329
Wewnetrzna,4.4934,41,1.96812,3.22267,2.97244,3.36957,-0.217234,3040,4.49326
Wewnetrzna,4.4934,42,1.57971,4.16931,3.03712,3.3114,-0.217234,3530,4.49327
Wewnetrzna,4.4934,43,1.78252,1.49803,3.00523,3.34039,-0.217234,3385,4.49329
Wewnetrzna,4.4934,44,1.06026,2.93633,3.03827,3.31036,-0.217234,3715,4.49328
Wewnetrzna,4.4934,45,3.40101,2.3974,3.03936,3.30934,-0.217234,3685,4.49327
Wewnetrzna,4.4934,46,2.49719,1.98895,3.07706,3.27432,-0.217234,3810,4.49327
Wewnetrzna,4.4934,47,1.03858,2.73548,3.04736,3.30197,-0.217234,2985,4.49326
Wewnetrzna,4.4934,48,2.34261,2.27672,3.03262,3.31554,-0.217234,3550,4.49328
Wewnetrzna,4.4934,49,1.27068,1.03976,2.93392,3.40319,-0.217234,3060,4.49328
Wewnetrzna,4.4934,50,1.31351,4.08886,3.02877,3.31905,-0.217234,3860,4.49328
Wewnetrzna,4.4934,51,2.83631,2.13617,3.04787,3.30151,-0.217234,3550,4.49328
Wewnetrzna,4.4934,52,3.33981,2.73761,2.98234,3.36081,-0.217234,3310,4.49326
Wewnetrzna,4.4934,53,2.7058,2.24842,3.03937,3.30933,-0.217234,3980,4.49327
Wewnetrzna,4.4934,54,3.23637,1.5874,3.00648,3.33926,-0.217234,3135,4.49328
Wewnetrzna,4.4934,55,1.38998,1.68945,3.00757,3.33828,-0.217234,3370,4.49328
Wewnetrzna,4.4934,56,1.9415,1.65967,3.02765,3.32007,-0.217234,3355,4.49328
Wewnetrzna,4.4934,57,1.72821,1.51158,3.07315,3.27798,-0.217234,3050,4.49327
Wewnetrzna,4.4934,58,2.8653,2.04072,2.98687,3.35678,-0.217234,3330,4.49326
Wewnetrzna,4.4934,59,1.10803,1.20921,2.97337,3.36875,-0.217234,3270,4.49326
Wewnetrzna,4.4934,60,2.35696,2.99958,3.00715,3.33864,-0.217234,3335,4.49327
Wewnetrzna,4.4934,61,1.39171,4.03431,3.02172,3.32546,-0.217234,3670,4.49328
Wewnetrzna,4.4934,62,1.48653,1.92115,3.04706,3.30226,-0.217234,3920,4.49327
Wewnetrzna,4.4934,63,2.3764,1.85439,3.03335,3.31486,-0.217234,3215,4.49328
Wewnetrzna,4.4934,64,3.47543,2.76538,3.03238,3.31575,-0.217234,3275,4.49328
Wewnetrzna,4.4934,65,1.43511,1.79695,3.04766,3.3017,-0.217234,3475,4.49327
Wewnetrzna,4.4934,66,2.00516,2.99328,3.04785,3.30154,-0.217234,3500,4.49327
Wewnetrzna,4.4934,67,3.72998,1.52439,2.98296,3.36025,-0.217234,3325,4.49326
Wewnetrzna,4.4934,68,1.54221,1.59454,3.02003,3.32701,-0.217234,3150,4.49328
Wewnetrzna,4.4934,69,3.52297,1.93292,3.05211,3.29759,-0.217234,3775,4.49327
Wewnetrzna,4.4934,70,1.13645,1.79962,2.97155,3.37034,-0.217234,3090,4.49325
Wewnetrzna,4.4934,71,1.17103,2.41498,3.00449,3.34106,-0.217234,3145,4.49328
Wewnetrzna,4.4934,72,1.78106,1.65655,2.98269,3.36049,-0.217234,3210,4.49326
Wewnetrzna,4.4934,73,3.33512,1.4721,2.97367,3.36848,-0.217234,3360,4.49326
Wewnetrzna,4.4934,74,2.20366,3.26477,2.9061,3.42696,-0.217234,2865,4.49327
Wewnetrzna,4.4934,75,3.1883,2.95748,2.99719,3.34761,-0.217234,3335,4.49329
Wewnetrzna,4.4934,76,2.52317,3.62241,2.97836,3.36433,-0.217234,3155,4.49326
Wewnetrzna,4.4934,77,3.75342,2.34055,2.93914,3.39865,-0.217234,3295,4.49326
Wewnetrzna,4.4934,78,4.16354,1.26618,3.03046,3.31749,-0.217234,3605,4.49326
Wewnetrzna,4.4934,79,1.78957,1.38264,3.02128,3.32587,-0.217234,3535,4.49328
Wewnetrzna,4.4934,80,1.61876,2.48458,3.03748,3.31106,-0.217234,3290,4.49326
Wewnetrzna,4.4934,81,2.05269,2.39883,2.99895,3.34604,-0.217234,3450,4.49329
Wewnetrzna,4.4934,82,2.86993,3.02518,3.04138,3.30749,-0.217234,3880,4.49327
Wewnetrzna,4.4934,83,1.24469,2.65927,3.0741,3.2771,-0.217234,3440,4.49327
Wewnetrzna,4.4934,84,1.43164,3.81905,3.084,3.26779,-0.217234,3890,4.49327
Wewnetrzna,4.4934,85,1.70046,3.61894,3.0284,3.3194,-0.217234,3640,4.49328
Wewnetrzna,4.4934,86,2.28413,3.22263,3.02209,3.32513,-0.217234,3455,4.49328
Wewnetrzna,4.4934,87,2.74894,1.54515,3.02233,3.32492,-0.217234,3515,4.49328
Wewnetrzna,4.4934,88,1.07078,2.42009,3.04282,3.30615,-0.217234,3675,4.49326
Wewnetrzna,4.4934,89,1.32881,2.5989,2.98097,3.36202,-0.217234,3350,4.49326
Wewnetrzna,4.4934,90,2.41805,2.60641,2.98195,3.36115,-0.217234,3325,4.49326
Wewnetrzna,4.4934,91,4.09,1.52048,3.05008,3.29947,-0.217234,3710,4.49327
Wewnetrzna,4.4934,92,1.41489,2.81116,3.0403,3.30848,-0.217234,3560,4.49327
Wewnetrzna,4.4934,93,1.27051,1.65858,3.03585,3.31257,-0.217234,3540,4.49327
Wewnetrzna,4.4934,94,3.10493,1.40867,3.07464,3.27659,-0.217234,3665,4.49327
