Iteracja,Krok_startowy,x0_start,x1_start,HJ_x0_end,HJ_x1_end,HJ_y_end,HJ_f_calls,Rosen_x0_end,Rosen_x1_end,Rosen_y_end,Rosen_f_calls
178,0.25,0.0999946,0.689347,3.7584e-06,0.77472,0.619837,147,2.10301e-06,0.774713,0.619837,261
179,0.25,0.452057,-0.705565,0.774719,-0.774718,1.23967,156,0.774716,-0.774715,1.23967,159
180,0.25,0.774581,-0.184206,0.774718,-2.18916e-06,0.619837,127,0.774716,5.46187e-06,0.619837,139
181,0.25,-0.224771,0.393445,5.97573e-06,0.774716,0.619837,143,3.33073e-06,0.774714,0.619837,169
182,0.25,-0.24617,-0.192082,-5.7391e-08,-4.04156e-06,5.20228e-10,142,1.41332e-06,1.97839e-06,1.88237e-10,203
183,0.25,0.666505,0.742332,0.774721,0.774711,1.23967,133,0.774716,0.774716,1.23967,191
184,0.25,0.0420061,-0.345166,-1.34341e-06,2.73281e-06,2.95275e-10,149,1.3621e-05,-1.5034e-06,5.97974e-09,127
185,0.25,-0.368605,0.818463,1.19052e-06,0.774716,0.619837,164,1.12904e-06,0.774716,0.619837,231
186,0.25,0.118075,0.311111,2.68925e-06,0.774719,0.619837,175,-9.36249e-07,0.774712,0.619837,205
187,0.25,-0.731315,-0.715028,-0.774711,-0.774721,1.23967,128,-0.77472,-0.774713,1.23967,213
188,0.25,0.482395,-0.118788,0.774723,1.3648e-06,0.619837,170,0.774714,1.23953e-06,0.619837,203
189,0.25,-0.193037,0.688836,2.32123e-06,0.774712,0.619837,164,2.2937e-06,0.774709,0.619837,219
190,0.25,-0.689904,0.316253,-0.774712,0.774719,1.23967,173,-0.774722,0.774715,1.23967,203
191,0.25,-0.600198,-0.689292,-0.774713,-0.774711,1.23967,163,7.93665e-07,-0.774716,0.619837,165
192,0.25,0.920546,-0.676673,-1.16885e-06,-0.774711,0.619837,171,2.8031e-06,0.774709,0.619837,237
193,0.25,0.440865,0.0205409,0.774712,2.58862e-06,0.619837,163,0.77472,-1.36619e-06,0.619837,213
194,0.25,-0.987326,-0.107078,-0.77471,-7.18939e-06,0.619837,163,-0.774717,1.51098e-06,0.619837,161
195,0.25,0.314976,0.787255,0.774723,0.774712,1.23967,156,0.774717,0.774713,1.23967,305
196,0.25,0.708716,-0.909795,0.77471,-5.45099e-06,0.619837,148,0.774711,-0.774711,1.23967,195
197,0.25,0.1807,-0.537455,5.38639e-06,5.82284e-06,2.00349e-09,158,0.774718,2.87045e-06,0.619837,253
198,0.25,-0.101877,-0.152795,5.76717e-06,6.77949e-06,2.52262e-09,148,-1.3226e-07,3.07915e-06,3.02461e-10,191
199,0.25,-0.795123,0.940129,-0.774722,0.774708,1.23967,156,-0.774717,0.774719,1.23967,153
200,0.25,0.502039,-0.163728,0.774713,-1.29042e-06,0.619837,148,-0.77472,2.8627e-06,0.619837,201
201,0.1,0.758592,-0.379886,0.774717,-3.05724e-06,0.619837,146,0.774722,2.33279e-06,0.619837,119
202,0.1,-0.852617,-0.972723,-0.774712,-0.774713,1.23967,141,-0.774719,-0.774722,1.23967,233
203,0.1,-0.0949141,0.629778,-4.38797e-06,0.774712,0.619837,114,6.65218e-06,0.774714,0.619837,133
204,0.1,-0.0915114,0.712049,4.66393e-06,0.77472,0.619837,152,3.02779e-06,0.774718,0.619837,157
205,0.1,0.318613,0.218585,-2.26175e-06,5.56224e-06,1.14805e-09,136,0.774714,0.774717,1.23967,235
206,0.1,0.0283027,0.718415,-5.43919e-06,0.774714,0.619837,139,1.2554e-05,0.774722,0.619837,131
207,0.1,0.529292,-0.051151,0.774715,-3.55721e-06,0.619837,145,-0.774718,-2.65143e-06,0.619837,151
208,0.1,-0.958258,-0.0298428,-0.774713,3.39605e-06,0.619837,159,-0.774717,2.86006e-06,0.619837,129
209,0.1,0.96939,-0.945584,0.774712,-0.77471,1.23967,155,0.774717,-0.774713,1.23967,185
210,0.1,0.863079,0.284366,0.774712,2.86441e-06,0.619837,134,0.774718,0.774713,1.23967,199
211,0.1,0.841671,0.571795,0.774715,0.774712,1.23967,140,0.774714,0.774713,1.23967,169
212,0.1,0.37457,0.022371,0.774717,-4.47416e-06,0.619837,130,0.774714,2.93095e-06,0.619837,227
213,0.1,-0.96566,-0.727307,-0.774717,-0.774719,1.23967,159,-0.774722,-0.774716,1.23967,237
214,0.1,0.869576,-0.760783,0.774715,-0.774711,1.23967,149,0.774714,-0.774717,1.23967,197
215,0.1,-0.787178,0.371615,-0.774715,0.774716,1.23967,129,-0.774718,0.774721,1.23967,145
216,0.1,0.0754894,0.971413,1.08475e-06,0.774722,0.619837,134,5.07464e-07,0.774714,0.619837,181
217,0.1,0.991729,0.222872,0.774713,-3.96463e-06,0.619837,137,0.774719,0.774716,1.23967,239
218,0.1,0.99869,-0.103185,0.774716,1.31973e-06,0.619837,153,0.774714,7.81032e-07,0.619837,171
219,0.1,-0.14735,-0.0928211,6.58097e-07,1.12621e-06,5.41778e-11,152,-4.05439e-07,4.95387e-07,1.30487e-11,195
220,0.1,-0.391135,-0.828737,2.30475e-06,-0.774721,0.619837,150,8.42495e-06,-0.774708,0.619837,183
221,0.1,-0.874236,0.637167,-0.774713,0.774716,1.23967,119,-0.774716,0.774717,1.23967,211
222,0.1,0.889678,0.655056,0.774712,0.774721,1.23967,152,0.774719,0.774716,1.23967,243
223,0.1,-0.413984,0.93142,5.51538e-06,0.774719,0.619837,162,-6.22672e-06,0.77472,0.619837,223
224,0.1,-0.374787,-0.444594,5.53384e-06,-1.55673e-06,1.05229e-09,150,1.89258e-06,-5.92143e-06,1.23056e-09,221
225,0.1,0.985837,-0.511708,0.774716,-0.774721,1.23967,150,0.77472,7.58342e-06,0.619837,251
226,0.1,0.839772,0.827508,0.774721,0.774712,1.23967,145,0.774718,0.774716,1.23967,183
227,0.1,-0.939913,0.214342,-0.774715,-1.27982e-06,0.619837,166,-0.774717,0.774711,1.23967,187
228,0.1,-0.150121,-0.905573,6.51949e-07,-0.774714,0.619837,126,-4.69913e-07,-0.774714,0.619837,215
229,0.1,0.487035,-0.280545,0.774718,-3.14716e-06,0.619837,125,0.774723,0.774719,1.23967,155
230,0.1,-0.666356,0.699857,-0.774717,0.77471,1.23967,157,0.774711,0.774713,1.23967,225
231,0.1,-0.90893,0.409134,-0.774714,0.77471,1.23967,139,-0.774718,-3.46686e-06,0.619837,241
232,0.1,0.67127,-0.917201,0.774713,-0.77472,1.23967,132,0.774718,-0.774716,1.23967,169
233,0.1,-0.367994,0.669961,-9.76477e-07,0.774721,0.619837,136,8.02263e-07,0.774715,0.619837,161
234,0.1,-0.0203853,0.484655,4.39109e-07,0.774719,0.619837,158,-4.82751e-08,0.77472,0.619837,249
235,0.1,-0.42286,0.588479,3.30665e-06,0.77471,0.619837,140,8.07851e-07,0.774718,0.619837,153
236,0.1,0.655918,-0.297097,0.774717,-2.21194e-06,0.619837,118,0.774717,8.71862e-07,0.619837,247
237,0.1,0.225647,0.545597,-3.91516e-07,0.77471,0.619837,159,0.774717,0.774711,1.23967,183
238,0.1,-0.642041,0.811663,-0.774719,0.774712,1.23967,160,-7.024e-06,0.774716,0.619837,211
239,0.1,0.477017,-0.016828,0.77471,5.46062e-06,0.619837,140,0.774716,3.75784e-06,0.619837,251
240,0.1,-0.632931,0.462854,-0.774716,0.774719,1.23967,147,-2.01418e-07,0.774715,0.619837,179
241,0.1,0.471464,-0.793159,0.774711,-0.774714,1.23967,144,0.774717,-0.774719,1.23967,205
242,0.1,0.290361,0.531551,4.72501e-06,0.774715,0.619837,151,0.774717,5.075e-06,0.619837,239
243,0.1,0.421183,-0.85976,0.774711,-0.774714,1.23967,151,0.774712,-0.774716,1.23967,209
244,0.1,0.625978,-0.0917822,0.774721,2.44216e-06,0.619837,136,0.774715,-1.35348e-06,0.619837,231
245,0.1,-0.140305,0.959622,2.22887e-06,0.77471,0.619837,143,5.43935e-06,0.774712,0.619837,181
246,0.1,-0.391925,-0.0492353,5.84191e-06,-4.35945e-06,1.69188e-09,160,-5.51078e-07,3.27128e-06,3.50425e-10,99
247,0.1,0.368756,-0.720655,0.774713,-0.77472,1.23967,144,0.774719,-0.774721,1.23967,231
248,0.1,0.0335641,-0.999238,-5.241e-06,-0.774714,0.619837,164,-4.13458e-08,-2.46781e-06,1.93978e-10,239
249,0.1,0.949306,-0.986821,0.774721,-0.774712,1.23967,118,0.774716,-0.774713,1.23967,111
